Bin No,Bin Type,Street,Ward-DED,LEA,DCC Area,NG Eastings,NG Northings,ITM Eastings,ITM Northings,Date surveyed,Advert Space,Used Advert space,Cig Butt container,Location: Footpath,Location: Residential,Location: Retail/Shop,Location:School,Location: Public Building,Location: Park,Location: Other,Damaged,Accessible,Depot,BIDS area,Fingal Co Co,South Dublin Co Co,DLR Co Co,Other,CBD Area
2068001,B,ORMAND SQUARE,INNS QUAY C,NORTH INNER CITY,CENTRAL,315180,234272,715106,734298,05/11/2008,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068002,B,ORMAND SQUARE,INNS QUAY C,NORTH INNER CITY,CENTRAL,315195,234289,715121,734315,05/11/2008,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068003,B,ORMAND SQUARE,INNS QUAY C,NORTH INNER CITY,CENTRAL,315221,234281,715147,734307,05/11/2008,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068004,B,CHURCH STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,314953,234417,714879,734443,19/06/2008,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068005,B,CHURCH STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,314949,234529,714875,734555,19/06/2008,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,CHURCH,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068006,B,KING STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,314962,234675,714888,734701,19/06/2008,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,LONDIS,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068007,B,ANNE STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,315094,234613,715020,734639,19/06/2008,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068008,D,ANNE STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,315103,234601,715029,734627,19/06/2008,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,CHURCH,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068009,E,LITTLE BRITAIN STREET,INNS QUAY C,NORTH INNER CITY,CENTRAL,315209,234585,715135,734611,19/06/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
2068010,B,KING STREET NORTH,INNS QUAY C,NORTH INNER CITY,CENTRAL,315079,234709,715005,734735,19/06/2008,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE
