Fine Number,DateOfOffence,Original_Issue_Date,Location,CleanupCosts,CleanupCostsStr,Section_No,AreaName
22171,07/01/2011 00:00,11/02/2011 00:00,"Watery Lane, Bottlebank, Watery ane, Swords",,0,3(1) pursu,SWORDS/BALBRIGGAN
22156,08/01/2011 00:00,21/01/2011 00:00,"Kilronan, Cloghran, Swords",,0,3(1),SWORDS/BALBRIGGAN
22157,08/01/2011 00:00,21/01/2011 00:00,"Kilronan, Cloghran, Swords",,0,3(1),SWORDS/BALBRIGGAN
22154,11/01/2011 00:00,14/01/2011 00:00,Kilbarrack Industrial Estate Kilbarrack Dublin 5,,0,3(1),MALAHIDE/HOWTH
22514,16/01/2011 00:00,18/03/2011 00:00,Bring bank Watery Lane Swords,,0,3(1) pursu,MALAHIDE/HOWTH
22512,17/01/2011 00:00,11/03/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22165,21/01/2011 00:00,04/02/2011 00:00,"Main Street, Baldoyle",,0,6(4),MALAHIDE/HOWTH
22163,21/01/2011 00:00,04/02/2011 00:00,"Aspen Road, Kinsealy",,0,3(1),MALAHIDE/HOWTH
22511,22/01/2011 00:00,11/03/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22501,24/01/2011 00:00,18/02/2011 00:00,Swords Road R132,,0,19(1),MALAHIDE/HOWTH
22510,24/01/2011 00:00,11/03/2011 00:00,Swords Road R132,,0,19(1),MALAHIDE/HOWTH
22167,24/01/2011 00:00,04/02/2011 00:00,Swords Road R132 Cloghran,,0,19(1),SWORDS/BALBRIGGAN
22502,24/01/2011 00:00,18/02/2011 00:00,Swords Road R132 Santry,,0,19(1),MALAHIDE/HOWTH
22161,24/01/2011 00:00,28/01/2011 00:00,Stockhole Lane,,0,3(1),SWORDS/BALBRIGGAN
22162,24/01/2011 00:00,28/01/2011 00:00,"Stockhole Lane, Cloghran",,0,3(1),SWORDS/BALBRIGGAN
22524,31/01/2011 00:00,01/04/2011 00:00,"Stockhole Lane, Cloghran, Co. Dublin",,0,3(1),MALAHIDE/HOWTH
22173,31/01/2011 00:00,11/02/2011 00:00,"Drumnigh Road, Portmarnock, Co. Dublin",,0,19(1),MALAHIDE/HOWTH
22164,31/01/2011 00:00,04/02/2011 00:00,Stockhole Lane Cloghran,,0,3(1),SWORDS/BALBRIGGAN
22523,31/01/2011 00:00,01/04/2011 00:00,Stockhole Lane Cloghran,,0,3(1),MALAHIDE/HOWTH
22508,31/01/2011 00:00,04/03/2011 00:00,"Drumnigh Road, Portmarnock, Co. Dublin",,0,19(1),MALAHIDE/HOWTH
22513,02/02/2011 00:00,18/03/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,MALAHIDE/HOWTH
22175,09/02/2011 00:00,18/02/2011 00:00,"Ben of Howth, Howth",,0,3(1),MALAHIDE/HOWTH
22174,11/02/2011 00:00,18/02/2011 00:00,Carrs Lane Balgriffin,,0,3(1),MALAHIDE/HOWTH
22576,19/02/2011 00:00,01/04/2011 00:00,"Bottlebank, Watery Lane, Swords",,0,3(1) pursu,SWORDS/BALBRIGGAN
22525,20/02/2011 00:00,01/04/2011 00:00,"Bottlebank, Watery Lane Swords",,0,3(1) pursu,SWORDS/BALBRIGGAN
22504,22/02/2011 00:00,25/02/2011 00:00,Posey Row Kinsealy,,0,3(1),MALAHIDE/HOWTH
22505,22/02/2011 00:00,25/02/2011 00:00,"Posey Row, Kinsealy",,0,3(1),MALAHIDE/HOWTH
22503,22/02/2011 00:00,25/02/2011 00:00,"Posey Row, Kinsealy",,0,3(1),MALAHIDE/HOWTH
22506,22/02/2011 00:00,25/02/2011 00:00,Laneway at redfern Avenue,,0,3(1),MALAHIDE/HOWTH
22509,28/02/2011 00:00,11/03/2011 00:00,"Torcaill Estate, Portmarnock",,0,19(1),MALAHIDE/HOWTH
22507,04/03/2011 00:00,04/03/2011 00:00,"Swords Road R132, Santry Dublin",,0,19(1),MALAHIDE/HOWTH
22520,07/03/2011 00:00,25/03/2011 00:00,"Blackwood Lane, Portmarnock Co. Dublin",,0,3(1) pursu,MALAHIDE/HOWTH
22521,10/03/2011 00:00,25/03/2011 00:00,"Coast Road, Malahide, Co. Dublin",,0,19(1),MALAHIDE/HOWTH
22646,11/03/2011 00:00,08/07/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22645,14/03/2011 00:00,08/07/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22516,15/03/2011 00:00,18/03/2011 00:00,Swords Road (R132) Santry,,0,19(1),MALAHIDE/HOWTH
22517,15/03/2011 00:00,18/03/2011 00:00,"Swords Road (R132), Santry",,0,19(1),MALAHIDE/HOWTH
22644,15/03/2011 00:00,08/07/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22518,16/03/2011 00:00,25/03/2011 00:00,"Old Ballymun Road, Ballymun Dublin 11",,0,3(1),MALAHIDE/HOWTH
22519,21/03/2011 00:00,25/03/2011 00:00,Stockhole Lane Cloghran,,0,3(1),MALAHIDE/HOWTH
22583,24/03/2011 00:00,22/04/2011 00:00,The Green Malahide Co. Dublin,,0,3(1) pursu,MALAHIDE/HOWTH
22642,26/03/2011 00:00,01/07/2011 00:00,Watery lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22522,28/03/2011 00:00,01/04/2011 00:00,"Ben of Howth, Howth",,0,3(1),MALAHIDE/HOWTH
22579,28/03/2011 00:00,15/04/2011 00:00,"Dublin Road, Swords",,0,19(1),SWORDS/BALBRIGGAN
