STREET,DISTRICT,WARD,FROM,TO,,,,
A660 FROM OTLEY TO A65,OTLEY,OTLEY AND YEADON,BRADFORD ROAD,BOUNDARY,,,,
ABBEY GORSE,KIRKSTALL,KIRKSTALL,,,,,,
ABBEY ROAD,KIRKSTALL,KIRKSTALL,VESPER GATE INN,BRIDGE ROAD( CITY BOUNDARY),,,,
ABBEY WALK,KIRKSTALL,KIRKSTALL,ABBEY ROAD,MORRIS LANE,,,,
ABBEYDALE MOUNT,KIRKSTALL,KIRKSTALL,ABBEY ROAD,WOODHALL PartIVE,,,,
ABBEYDALE WAY,KIRKSTALL,KIRKSTALL,ABBEYDALE MOUNT,ABBEY ROAD,,,,
ABERFIELD DRIVE,BELLE ISLE,MIDDLETON PARK,Aberfield Drive,Abefrield Bank,,,,
ABERFIELD DRIVE,BELLE ISLE,MIDDLETON PARK,Aberfield Bank,Sharp Lane,,,,
ABERFORD ROAD,ABERFORD,HAREWOOD,JUNCTION WITH M1,JUCTION WITH ROMAN ROAD ABERFORD,,,,
ABERFORD ROAD,BRAMHAM,WETHERBY,JUNCTION WITH TOULSTON LANE AND WINDMILL ROAD,GREAT NORTH ROAD (A1),,,,
ABERFORD ROAD,GARFORTH,GARFORTH AND SWILLINGTON,JUNCTION WITH MAIN STREET AND WAKEFIELD ROAD,JUNCTIONO WITH M1,,,,
ABERFORD ROAD,BARWICK,HAREWOOD,POTTERTON LANE,CATTLE LANE AT ASS BRIDGE,,,,
ABERFORD ROAD,WOODLESFORD,ROTHWELL,JUNCTION WITH BULLERTHORPE LANE AND WAKEFIELD ROAD,STATION LANE,,,,
ABERFORD ROAD,WOODLESFORD,ROTHWELL,STATION LANE,LEEDS ROAD,,,,
ACCOMMODATION ROAD,SHEEPSCAR,BURMANTOFTS AND RICHMOND HILL,BECKETT STREET,NIPPET LANE,,,,
ACKROYD STREET,MORLEY,MORLEY SOUTH,MARSHALL STREET,ALBERT ROAD,,,,
ACRE ROAD,MIDDLETON,MIDDLETON PARK,SISSONS TERRACE,MIDDLETON PARK AVENUE,,,,
ACRES HALL AVENUE,PUDSEY,PUDSEY,TROYDALE LANE / VALLEY ROAD,KENT ROAD,,,,
ADEL LANE,ADEL,ADEL AND WHARFEDALE,CHURCH LANE,WEETWOOD LANE,,,,
AINSTY ROAD,WETHERBY,WETHERBY,AIRE ROAD,DEIGHTON ROAD,,,,
AIRE ROAD,WETHERBY,WETHERBY,DEIGHTON ROAD,AINSTY ROAD,,,,
AIRE STREET,CENTRAL,CITY AND HUNSLET,WELLINGTON STREET,WHITEHALL ROAD (AT THIRSK ROW),,,,
AIRE STREET,CENTRAL,CITY AND HUNSLET,AIRE STREET (NORTH SIDE RBT),Aire Street,,,,
AIRE VALLEY WAY,RICHMOND HILL,BURMANTOFTS AND RICHMOND HILL,PONTEFRACT LANE,LONG CAUSEWAY,,,,
ALANDALE CRESCENT,GARFORTH,GARFORTH AND SWILLINGTON,WAKEFIELD ROAD,KINGSWAY,,,,
ALANDALE ROAD,GARFORTH,GARFORTH AND SWILLINGTON,BARLEYHILL ROAD,KINGSWAY,,,,
ALBERT DRIVE,MORLEY,MORLEY SOUTH,ALBERT ROAD,NEWLANDS DRIVE,,,,
ALBERT ROAD,MORLEY,MORLEY SOUTH,STATION ROAD,WIDE LANE,,,,
ALBION STREET,CENTRAL,CITY AND HUNSLET,GREAT GEORGE STREET,BUTTS COURT,,,,
ALBION STREET,MORLEY,MORLEY SOUTH,CORPORATION STREET,NORTH-EAST TO END,,,,
ALEXANDRA ROAD,BURLEY,HYDE PARK AND WOODHOUSE,HYDE PARK ROAD,THORNVILLE ROAD,,,,
ALEXANDRA ROAD,HORSFORTH,HORSFORTH,BROADGATE LANE,BROADWAY,,,,
ALLERTON GRANGE AVENUE,MOORTOWN,MOORTOWN,LIDGETT LANE, SOUTH  WEST,,,,
ALLERTON GRANGE WAY,MOORTOWN,MOORTOWN,NORTH EAST GLEDHOW VALLEY ROAD,LARKHILL ROAD,,,,
ALMA ROAD,HEADINGLEY,HEADINGLEY,OTLEY ROAD,GROVE ROAD,,,,
ALWOODLEY LANE,ALWOODLEY,ALWOODLEY,KING LANE,HARROGATE ROAD,,,,
AMBERTON ROAD,HAREHILLS,GIPTON AND HAREHILLS,BEECH LANE,OAKTREE DRIVE,,,,
AMBERTON ROAD,HAREHILLS,GIPTON AND HAREHILLS,OAK TREE DRIVE,EASTERLEY ROAD,,,,
ANNIE STREET,MORLEY,MORLEY SOUTH,ACKROYD STREET,PEEL STREET,,,,
APPERLEY LANE,RAWDON,HORSFORTH,NEW ROAD SIDE,WOODLANDS DRIVE,,,,
ARLINGTON ROAD,GIPTON,ROUNDHAY,EASTERLY ROAD,GIPTON WOOD ROAD,,,,
ARMLEY RIDGE ROAD,ARMLEY,ARMLEY,TOWN STREET,RAYNVILLE ROAD,,,,
ARMLEY ROAD,ARMLEY,ARMLEY,CANAL STREET,STANNINGLEY  ROAD,,,,
ARMLEY ROAD,ARMLEY,ARMLEY,WELLINGTON  ROAD,CANAL STREET,,,,
ARMOURIES DRIVE,HUNSLET,CITY AND HUNSLET,CHADWICK STREET SOUTH,,,,,
ARTHINGTON LANE,POOL,ADEL AND WHARFEDALE,RAWDEN HILL,OTLEY ROAD,,,,
ARTHINGTON LANE,POOL,ADEL AND WHARFEDALE,MAIN STREET,RAWDEN HILL,,,,
ARTHINGTON ROAD,ECCUP,ADEL AND WHARFEDALE,KING LANE,BLACK HILL ROAD,,,,
ARTHINGTON ROAD,ECCUP,ADEL AND WHARFEDALE,ECCUP LANE,KING LANE,,,,
ASH HILL DRIVE,SHADWELL,HAREWOOD,ASH HILL LANE,ASH HILL LANE,,,,
ASH HILL LANE,SHADWELL,HAREWOOD,MAIN STREET,ASH HILL DRIVE,,,,
ASHLEY ROAD,HAREHILLS,GIPTON AND HAREHILLS,JUNCTION HAREHILLS ROAD AND STANLEY ROAD,HAREHILLS LANE,,,,
ASHVILLE ROAD,HEADINGLEY,HEADINGLEY,CARDIGAN ROAD,CARDIGAN LANE,,,,
